ID;Nombre;Apellido;email;day;month;year;Capital;item;descripcion;Importe;valoracion;FechaPedido
252;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Moldes Pavimento;42x42x4;13;2;16/03/2019
253;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Moldes Pavimento;42x42x4;13;2;22/01/2019
254;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Sierra Circular;Tekin;50;2;29/01/2019
255;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Serrucho;;9;3;24/03/2019
256;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Moldes Pavimento;42x42x4;13;0;30/01/2019
257;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;Llave de Correa;;6;1;22/12/2018
258;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Resina para suelos;25L;58;1;14/03/2019
259;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Llave de Correa;;6;0;18/02/2019
260;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Fresadora;Tekin;40;4;07/02/2019
261;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Resina para suelos;25L;58;4;25/02/2019
262;Isabel;Lopez;uah.es;24;abril;2018;London;Llave de Cadena;;9;0;10/02/2019
263;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Martillo;Cabeza doble;3;2;06/03/2019
264;Kendra;Minguez;gmail.com;16;agosto;2018;Budapest;Moldes Pavimento;42x42x4;13;3;28/02/2019
265;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Disco Diamante;125x22mm;18;2;10/03/2019
266;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;MicroSoplete;GasButano;14;0;05/01/2019
267;Francisco;Yuste;uned.es;12;julio;2017;Paris;MicroSoplete;GasButano;14;5;27/02/2019
268;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;Serrucho;;9;4;19/02/2019
269;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Abrazadera angulo recto;Juego de 4;13;1;01/03/2019
270;Javier;Minguez;yahoo.es;16;marzo;2018;Stockholm;Llave de Correa;;6;4;28/12/2018
271;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Sierra Circular;Tekin;50;1;16/03/2019
272;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Caja de tirafondos;40 piezas;3;0;30/12/2018
273;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Sierra Circular;Tekin;50;3;12/03/2019
274;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Serrucho;;9;2;20/03/2019
275;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Martillo;Cabeza doble;3;5;17/01/2019
276;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Llave de Correa;;6;3;27/03/2019
277;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Moldes Pavimento;42x42x4;13;4;03/02/2019
278;Francisco;Yuste;uned.es;12;julio;2017;Paris;Carretilla;Plegable;33;2;11/02/2019
279;Nuria;Diaz;uah.es;3;diciembre;2017;Dublin;Llave de Cadena;;9;5;26/01/2019
280;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Resina para suelos;25L;58;4;12/01/2019
281;Francisco;Yuste;uned.es;12;julio;2017;Paris;Recortadora de borde;;22;0;11/02/2019
282;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Resina para suelos;25L;58;5;14/01/2019
283;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Serrucho;;9;4;30/01/2019
284;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Serrucho;;9;2;06/01/2019
285;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Llave de Correa;;6;5;31/03/2019
286;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Abrazadera angulo recto;Juego de 4;13;5;15/01/2019
287;Elena;Diaz;uned.es;13;febrero;2018;Vienna;Serrucho;;9;4;26/03/2019
288;Violeta;Yuste;uned.es;13;octubre;2018;Sofia;Martillo;Cabeza doble;3;4;23/03/2019
289;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Taladro;GoldLine;35;0;25/01/2019
290;Elena;Diaz;uned.es;13;febrero;2018;Vienna;Taladro;GoldLine;35;5;25/02/2019
291;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Moldes Pavimento;42x42x4;13;0;17/03/2019
292;Manuel;Lopez;yahoo.es;23;agosto;2017;Sofia;Llave de Correa;;6;0;30/03/2019
293;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;Martillo;Cabeza doble;3;3;21/02/2019
294;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Moldes Pavimento;42x42x4;13;4;06/01/2019
295;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Sierra Circular;Tekin;50;2;14/01/2019
296;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Martillo;Cabeza doble;3;2;28/01/2019
297;Xabier;Esteban;uam.es;18;agosto;2018;Oslo;Abrazadera angulo recto;Juego de 4;13;0;05/03/2019
298;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Fresadora;Tekin;40;5;09/01/2019
299;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Taladro;GoldLine;35;3;16/02/2019
300;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Resina para suelos;25L;58;4;29/01/2019
301;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;Carretilla;Plegable;33;2;03/03/2019
302;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Caja de tirafondos;40 piezas;3;0;12/03/2019
303;Sandra;Esteban;ucm.es;17;abril;2018;Bucharest;Taladro;GoldLine;35;5;31/12/2018
304;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Fresadora;Tekin;40;0;01/01/2019
305;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Martillo;Cabeza doble;3;5;03/02/2019
306;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Serrucho;;9;4;02/02/2019
307;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Fresadora;Tekin;40;5;09/02/2019
308;Manuel;Lopez;yahoo.es;23;agosto;2017;Sofia;Recortadora de borde;;22;2;07/02/2019
309;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;MicroSoplete;GasButano;14;5;23/03/2019
310;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Abrazadera angulo recto;Juego de 4;13;4;17/03/2019
311;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Carretilla;Plegable;33;1;01/01/2019
312;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Carretilla;Plegable;33;5;01/02/2019
313;Javier;Minguez;yahoo.es;16;marzo;2018;Stockholm;Resina para suelos;25L;58;2;26/02/2019
314;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Moldes Pavimento;42x42x4;13;3;06/03/2019
315;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Taladro;GoldLine;35;4;27/12/2018
316;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Moldes Pavimento;42x42x4;13;5;27/02/2019
317;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;MicroSoplete;GasButano;14;3;09/02/2019
318;Violeta;Yuste;uned.es;13;octubre;2018;Sofia;Martillo;Cabeza doble;3;0;08/03/2019
319;Francisco;Idiazabal;gmail.com;21;agosto;2017;Paris;Resina para suelos;25L;58;5;22/03/2019
320;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Carretilla;Plegable;33;1;06/01/2019
321;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Martillo;Cabeza doble;3;3;13/01/2019
322;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Caja de tirafondos;40 piezas;3;1;16/02/2019
323;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Carretilla;Plegable;33;5;12/03/2019
324;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Fresadora;Tekin;40;0;05/02/2019
325;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Carretilla;Plegable;33;1;27/02/2019
326;Francisco;Yuste;uned.es;12;julio;2017;Paris;Sierra Circular;Tekin;50;5;07/02/2019
327;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Fresadora;Tekin;40;0;24/03/2019
328;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Caja de tirafondos;40 piezas;3;1;15/01/2019
329;Xabier;Esteban;uam.es;18;agosto;2018;Oslo;Caja de tirafondos;40 piezas;3;1;22/01/2019
330;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Taladro;GoldLine;35;0;19/01/2019
331;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Moldes Pavimento;42x42x4;13;1;28/02/2019
332;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Caja de tirafondos;40 piezas;3;5;31/03/2019
333;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Caja de tirafondos;40 piezas;3;3;27/03/2019
334;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Abrazadera angulo recto;Juego de 4;13;5;25/03/2019
335;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Martillo;Cabeza doble;3;5;08/02/2019
336;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Resina para suelos;25L;58;4;13/03/2019
337;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Martillo;Cabeza doble;3;5;31/01/2019
338;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Martillo;Cabeza doble;3;4;28/03/2019
339;Francisco;Yuste;uned.es;12;julio;2017;Paris;Taladro;GoldLine;35;1;11/03/2019
340;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Fresadora;Tekin;40;5;04/01/2019
341;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Llave de Correa;;6;4;02/03/2019
342;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Martillo;Cabeza doble;3;5;14/01/2019
343;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Resina para suelos;25L;58;2;03/02/2019
344;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Martillo;Cabeza doble;3;4;07/03/2019
345;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Recortadora de borde;;22;4;01/03/2019
346;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;Serrucho;;9;5;19/02/2019
347;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Martillo;Cabeza doble;3;1;08/02/2019
348;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Fresadora;Tekin;40;2;20/02/2019
349;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Resina para suelos;25L;58;4;26/02/2019
350;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Fresadora;Tekin;40;1;11/02/2019
