Nombre Completo;email;fecha;Country;Capital;item;descripcion;valoracion;Importe;FechaPedido
Kendra Ximol;;11 de marzo de 2017;Spain;Madrid;Caja de tirafondos;40 piezas;0;3;27/01/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Disco Diamante;125x22mm;1;18;23/02/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Sierra Circular;Tekin;0;50;06/02/2019
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;Recortadora de borde;;2;22;14/03/2019
Nuria Ucelai;Nuria_Ucelai@uam.es;7 de febrero de 2017;Republic_of_Ireland;Dublin;Moldes Pavimento;42x42x4;4;13;19/03/2019
Tomas Perez;Tomas_Perez@uned.es;6 de octubre de 2017;Poland;Warsaw;Caja de tirafondos;40 piezas;3;3;18/01/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Abrazadera angulo recto;Juego de 4;5;13;12/02/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Llave de Cadena;;3;9;26/02/2019
Kendra Ocon;Kendra_Ocon@facebook.com;1 de mayo de 2018;Netherlands;Amsterdam;Taladro;GoldLine;2;35;26/02/2019
Laura Tasio;Laura_Tasio@facebook.com;18 de julio de 2018;Netherlands;Amsterdam;Serrucho;;3;9;29/12/2018
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Taladro;GoldLine;5;35;10/01/2019
Javier Nu¤ez;Javier_Nu¤ez@facebook.com;5 de octubre de 2017;Netherlands;Amsterdam;Disco Diamante;125x22mm;2;18;19/01/2019
Yolanda Minguez;Yolanda_Minguez@uned.es;19 de junio de 2018;Romania;Bucharest;Llave de Cadena;;0;9;25/12/2018
Kendra Ximol;;11 de marzo de 2017;Spain;Madrid;Resina para suelos;25L;1;58;12/02/2019
Gema Perez;Gema_Perez@uam.es;13 de noviembre de 2017;Sweden;Stockholm;Disco Diamante;125x22mm;4;18;11/02/2019
Yolanda Minguez;Yolanda_Minguez@uned.es;19 de junio de 2018;Romania;Bucharest;Llave de Cadena;;3;9;04/02/2019
Elena Perez;Elena_Perez@urjc.es;19 de septiembre de 2018;Bulgaria;Sofia;Sierra Circular;Tekin;0;50;15/02/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Llave de Correa;;2;6;01/03/2019
Xabier Ximol;Xabier_Ximol@gmail.com;24 de enero de 2018;Germany;Berlin;Recortadora de borde;;3;22;11/02/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Martillo;Cabeza doble;5;3;18/02/2019
Isabel Nu¤ez;Isabel_Nu¤ez@ucm.es;2 de diciembre de 2018;Romania;Bucharest;Taladro;GoldLine;1;35;27/01/2019
Kendra Ximol;Kendra_Ximol@uned.es;11 de marzo de 2017;Spain;Madrid;Moldes Pavimento;42x42x4;3;13;24/03/2019
Ubaldo Kostadiris;Ubaldo_Kostadiris@yahoo.es;13 de julio de 2018;United_Kingdom;London;Caja de tirafondos;40 piezas;0;3;22/01/2019
Manuel Lopez;Manuel_Lopez@yahoo.es;23 de agosto de 2017;Bulgaria;Sofia;Martillo;Cabeza doble;5;3;21/01/2019
Alberto Perez;Alberto_Perez@ucm.es;21 de marzo de 2018;France;Paris;Abrazadera angulo recto;Juego de 4;4;13;12/01/2019
Roberto Vitola;Roberto_Vitola@gmail.com;13 de enero de 2018;Spain;Madrid;Fresadora;Tekin;1;40;29/03/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Recortadora de borde;;3;22;12/02/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Caja de tirafondos;40 piezas;2;3;07/02/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Moldes Pavimento;42x42x4;1;13;11/02/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Llave de Correa;;3;6;09/03/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;Disco Diamante;125x22mm;4;18;08/01/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Fresadora;Tekin;2;40;16/02/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Recortadora de borde;;1;22;13/02/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Martillo;Cabeza doble;4;3;05/03/2019
Isabel Nu¤ez;Isabel_Nu¤ez@ucm.es;2 de diciembre de 2018;Romania;Bucharest;Abrazadera angulo recto;Juego de 4;3;13;28/01/2019
Roberto Vitola;Roberto_Vitola@gmail.com;13 de enero de 2018;Spain;Madrid;Disco Diamante;125x22mm;0;18;23/02/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Serrucho;;2;9;21/12/2018
Hector Ucelai;Hector_Ucelai@uam.es;17 de febrero de 2018;Netherlands;Amsterdam;Moldes Pavimento;42x42x4;4;13;01/02/2019
Kendra Ximol;;11 de marzo de 2017;Spain;Madrid;Caja de tirafondos;40 piezas;1;3;14/02/2019
Kendra Ba¤os;Kendra_Ba¤os@uned.es;17 de septiembre de 2017;Bulgaria;Sofia;Llave de Correa;;1;6;21/01/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Sierra Circular;Tekin;0;50;07/01/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Caja de tirafondos;40 piezas;0;3;12/02/2019
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Llave de Correa;;4;6;08/02/2019
Nuria Ucelai;Nuria_Ucelai@uam.es;7 de febrero de 2017;Republic_of_Ireland;Dublin;Martillo;Cabeza doble;1;3;13/03/2019
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Taladro;GoldLine;2;35;17/01/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;Carretilla;Plegable;3;33;09/03/2019
Gema Perez;Gema_Perez@uam.es;13 de noviembre de 2017;Sweden;Stockholm;Fresadora;Tekin;2;40;30/12/2018
Francisco Idiazabal;Francisco_Idiazabal@gmail.com;21 de agosto de 2017;France;Paris;MicroSoplete;GasButano;0;14;27/02/2019
Nuria Ucelai;Nuria_Ucelai@urjc.es;11 de junio de 2017;Czech_Republic;Prague;Llave de Correa;;5;6;01/01/2019
